model_id,creator,family,downloads,created_at,direct_derivatives,total_descendants,max_depth,avg_depth,depth_1_count,depth_2_count,depth_3_count,depth_4plus_count
meta-llama/Meta-Llama-3-8B-Instruct,meta-llama,LLaMA,1395075,2024-04-17 09:35:12+00:00,2028,3283,17,2.41,2028,475,151,629
mistralai/Mistral-7B-Instruct-v0.2,mistralai,Mistral,2874969,2023-12-11 13:18:44+00:00,889,1408,17,2.47,889,250,52,217
unsloth/Meta-Llama-3.1-8B,unsloth,LLaMA,26828,2024-07-23 15:56:03+00:00,195,483,15,4.57,195,38,19,231
openai-community/gpt2,openai-community,GPT,10803658,2022-03-02 23:29:04+00:00,1713,1794,15,1.1,1713,63,5,13
google/gemma-2-9b,google,Gemma,43764,2024-06-24 08:10:30+00:00,217,2008,15,4.64,217,581,272,938
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,deepseek-ai,Qwen,741961,2025-01-20 09:18:27+00:00,189,441,15,2.01,189,179,47,26
Qwen/Qwen2.5-14B,Qwen,Qwen,122136,2024-09-15 12:18:18+00:00,227,1901,15,2.85,227,677,743,254
mistralai/Mistral-7B-v0.1,mistralai,Mistral,539927,2023-09-20 13:03:50+00:00,1499,4168,14,2.19,1499,1618,549,502
WizardLMTeam/WizardMath-7B-V1.1,WizardLMTeam,Other,16406,2023-12-19 08:09:17+00:00,120,612,13,5.41,120,58,13,421
meta-llama/Llama-3.1-8B,meta-llama,LLaMA,1264103,2024-07-14 22:20:15+00:00,1434,6613,13,2.35,1434,2989,1535,655
Sao10K/L3-8B-Stheno-v3.2,Sao10K,Other,4587,2024-06-05 10:30:57+00:00,131,696,13,4.1,131,148,142,275
liminerity/M7-7b,liminerity,Other,9022,2024-03-07 20:43:26+00:00,127,1109,12,2.9,127,409,405,168
Qwen/Qwen3-4B-Instruct-2507,Qwen,Qwen,3795726,2025-08-05 10:58:03+00:00,6445,7540,12,1.17,6445,962,109,24
meta-llama/Meta-Llama-3-8B,meta-llama,LLaMA,3091668,2024-04-17 09:35:16+00:00,636,2915,11,2.78,636,1373,279,627
Qwen/Qwen2.5-0.5B,Qwen,Qwen,1530500,2024-09-15 12:15:39+00:00,457,4677,11,2.13,457,3221,970,29
mistralai/Mistral-Nemo-Base-2407,unknown,Mistral,0,,129,1050,11,3.05,129,304,277,340
Qwen/Qwen3-4B-Thinking-2507,Qwen,Qwen,514810,2025-08-05 11:02:27+00:00,250,566,10,1.83,250,215,73,28
mistralai/Mistral-Nemo-Instruct-2407,unknown,Mistral,0,,251,1075,10,2.69,251,299,241,284
Qwen/Qwen2.5-7B,Qwen,Qwen,1990953,2024-09-15 12:17:40+00:00,794,7763,9,2.28,794,4469,2091,409
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai,LLaMA,857066,2025-01-20 09:09:42+00:00,387,671,9,1.7,387,218,20,46
Qwen/Qwen3-8B-Base,Qwen,Qwen,1868378,2025-04-28 05:03:58+00:00,339,2367,9,2.03,339,1687,297,44
meta-llama/Llama-3.1-70B,meta-llama,LLaMA,76730,2024-07-14 22:23:12+00:00,105,2407,8,2.67,105,999,966,337
